"","year","survey_wk","moessidechannel","uppercottonwood","cottonwood","lowerauditorium","middleauditorium","topofauditorium","upperauditorium","upperhatchery","hatchery","belowbigholeeast","bigbar","bigholeeast","developing","g95eastsidechannelbottom","g95main","keister","lowerhour","lowermcfarland","upperhour","uppermcfarland","vanceeast","g95eastsidechanneltop","g95westsidechannel","goose","hatcherysidechannel","tablemountain","lowerrobinson","mathews","trailerpark","uppermathews","upperrobinson","eyesidechannel","steep","weir","aleck","steepsidechannel","lowervanceeast","vancewest","greatwestern","lowertablemountain","topofhatchery","palm","bedrock","hatcherypipe","belowlowerauditorium","bigholewest","lowerbig","eye","gateway"
"12",2015,"10",7,2,1,10,6,10,2,7,5,0,18,6,0,6,6,3,26,5,12,2,8,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2015,"11",0,3,4,30,0,14,8,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2015,"12",5,0,1,11,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2015,"13",0,0,0,8,0,2,1,1,0,0,1,1,1,2,0,1,1,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2015,"2",22,10,2,28,8,25,20,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2015,"3",17,15,20,61,26,18,2,41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2015,"4",27,29,23,127,26,42,25,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2015,"5",38,22,10,74,11,5,14,26,17,0,0,2,0,1,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2015,"6",36,19,27,100,20,28,32,41,46,0,1,1,0,0,1,1,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2015,"7",24,21,24,92,23,19,11,55,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2015,"8",15,5,0,35,11,16,18,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2015,"9",0,9,9,48,11,8,11,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2016,"1",1,0,7,7,1,10,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2016,"2",15,0,4,36,8,12,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2016,"3",16,1,7,51,10,10,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2016,"4",7,16,8,175,20,19,13,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2016,"5",8,23,15,182,17,20,27,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2016,"6",6,16,11,39,25,34,3,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2016,"7",0,12,0,179,0,35,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2016,"8",11,10,5,26,24,8,23,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2016,"9",0,2,0,6,1,7,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2017,"1",0,0,0,6,2,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2017,"10",5,0,0,7,0,16,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2017,"11",5,0,0,4,0,1,0,2,0,0,0,0,0,7,0,1,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2017,"2",8,0,0,6,2,7,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2017,"3",13,0,0,24,4,24,9,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2017,"4",58,0,0,43,13,67,64,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2017,"5",108,0,0,68,23,75,17,37,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,33,34,39,0,31,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2017,"6",172,0,0,113,11,83,45,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7,0,0,42,5,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2017,"7",98,0,0,105,15,62,51,27,11,0,2,9,0,1,0,0,2,0,0,0,6,1,0,0,0,0,52,0,54,14,55,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"42",2017,"8",19,0,0,84,0,29,14,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2017,"9",2,0,0,9,3,4,4,3,0,0,3,0,1,0,0,2,0,0,1,0,3,4,0,0,0,27,0,0,6,0,21,0,2,0,0,0,0,1,1,16,9,0,0,0,0,0,0,0,0
"44",2018,"1",8,0,1,5,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"45",2018,"10",0,0,0,0,0,0,0,0,0,4,0,8,0,8,5,5,14,0,4,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"46",2018,"2",16,0,5,41,6,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,0,9,5,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
"47",2018,"3",11,6,13,56,1,28,40,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,17,0,6,0,1,0,0,0,0,0,0,6,0,0,19,6,0,0,0,0,0
"48",2018,"4",37,5,0,50,14,39,22,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,23,13,6,1,14,2,1,0,0,0,0,0,0,7,0,0,1,5,0,0,0,0,0
"49",2018,"5",114,0,15,139,57,61,116,35,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,28,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0
"50",2018,"6",168,0,3,259,76,143,116,26,137,0,8,0,0,15,0,1,8,0,0,2,7,0,6,3,0,54,0,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,34,13,2,8,0,0
"51",2018,"7",79,0,0,174,47,117,39,22,66,0,0,19,0,9,2,6,9,0,16,0,10,2,4,3,0,0,28,0,0,0,142,27,19,26,0,18,3,2,0,0,0,0,0,0,0,0,0,7,9
"52",2018,"8",0,0,0,0,19,138,75,5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,157,34,0,0,0,0,52,0,0,0,0,0,0,0,86,0,0,0,0,0,0
"53",2018,"9",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",2018,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2019,"10",53,0,26,88,17,52,46,10,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,123,0,0,0,0,0,0,0,0,0,0,54,0,0,0,34,0,0,0,0,0
"56",2019,"11",15,0,14,87,14,29,10,17,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,26,46,0,0,0,0,0,60,0,0,0,18,30,0,0,21,7
"57",2019,"12",0,0,0,0,0,0,0,0,0,3,5,10,0,0,11,0,5,0,0,1,17,14,1,0,0,0,67,26,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",2019,"3",0,0,4,18,4,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",2019,"4",6,3,0,44,14,22,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,1,21,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"60",2019,"5",29,3,7,86,20,50,23,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,5,22,0,10,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0
"61",2019,"6",27,11,11,100,37,79,76,26,66,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,4,3,35,0,3,2,3,0,0,3,0,1,0,27,0,0,24,15,14,0,0,0,0
"62",2019,"7",26,1,0,154,45,76,36,26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2,49,3,10,1,4,4,0,0,0,0,0,14,0,0,47,16,28,0,0,0,0
"63",2019,"8",76,2,22,103,41,83,107,78,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,54,13,44,0,0,0,0
"64",2019,"9",43,10,0,57,14,42,44,46,92,0,12,41,0,4,0,5,10,0,8,1,4,28,4,0,0,28,92,38,313,30,76,9,11,8,0,6,6,3,0,23,0,0,0,27,10,6,0,0,4
"65",2020,"1",2,2,17,24,12,35,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0
"66",2020,"2",15,3,13,49,20,40,41,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0
"67",2020,"3",18,6,32,58,27,66,27,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,5,60,10,24,0,4,0,2,2,0,0,1,15,0,0,79,12,0,0,0,0,0
"68",2020,"4",79,2,19,138,23,31,78,21,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,6,1,25,0,1,0,0,0,42,0,0,0,24,33,0,0,0,7
"69",2020,"5",35,1,19,117,49,69,65,28,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,192,29,224,46,102,0,31,0,14,0,0,0,0,4,0,0,45,25,37,0,0,0,0
"70",2020,"6",62,0,18,137,33,86,29,48,73,7,0,31,1,19,7,0,24,0,6,0,21,14,1,4,0,36,0,0,0,0,0,0,0,0,0,0,3,7,0,14,0,1,0,22,18,1,0,0,0
"71",2020,"7",36,1,21,80,24,78,33,20,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,57,2,91,6,34,9,30,20,10,51,0,0,0,21,0,0,121,22,0,0,0,13,6
"72",2020,"8",46,0,14,97,24,65,40,0,0,0,28,22,0,22,16,6,14,5,11,7,26,21,9,3,0,44,0,0,61,0,0,0,0,0,0,0,3,0,0,33,0,0,18,29,0,0,0,0,0
"73",2020,"9",0,0,0,0,0,0,0,40,46,2,0,2,0,12,5,0,25,0,2,0,0,6,0,0,0,0,83,0,0,0,62,18,9,21,6,14,0,9,5,0,0,0,0,0,21,6,0,0,10
"74",2021,"1",10,0,18,17,4,35,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,2,10,0,0,0,0
"75",2021,"2",34,2,29,68,25,60,29,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,61,9,9,0,0,0,0
"76",2021,"3",39,15,31,64,43,73,49,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,93,0,86,0,59,0,0,0,13,0,0,0,0,30,0,0,58,25,28,0,0,0,0
"77",2021,"4",24,11,16,92,46,67,25,11,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,3,12,0,2,0,0,0,16,0,0,50,26,16,0,0,0,7
"78",2021,"5",16,7,24,37,15,36,32,5,41,0,0,2,0,0,1,0,3,0,0,0,1,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,24,21,26,4,0,0,0
"79",2021,"6",15,0,2,86,12,47,33,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,18,14,0,0,0,0
"80",2021,"7",0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,6,0,0,0,0,14,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"81",2021,"8",0,0,0,0,0,0,0,0,0,0,1,17,2,7,0,4,6,1,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
"82",2022,"1",0,6,2,4,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"83",2022,"10",6,3,12,26,5,25,17,4,23,0,0,0,0,5,0,2,6,0,0,0,2,2,0,0,0,20,12,3,30,0,11,1,2,0,2,0,0,0,0,13,0,0,15,20,2,0,0,0,1
"84",2022,"11",2,1,8,17,3,21,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,9,6,0,0,0,0,0,0,0,0,2,0,0,9,2,0,0,0,0,0
"85",2022,"12",0,2,3,0,1,6,2,0,3,1,2,3,0,3,1,0,5,2,0,0,1,0,0,0,0,2,3,1,7,0,2,0,1,2,0,0,0,0,0,3,0,0,1,4,0,0,0,1,3
"86",2022,"2",3,1,4,7,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,1,0,0,0,1,0,0,0,0,2,0,0,19,2,0,0,0,0,0
"87",2022,"3",0,3,7,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,0,3,0,0,0,2,0,0,0,0,5,0,0,16,11,0,0,0,0,0
"88",2022,"4",1,7,13,15,2,15,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,9,2,0,3,3,4,3,3,0,0,0,0,14,0,0,13,16,1,0,0,0,1
"89",2022,"5",3,5,41,25,8,30,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,6,16,0,2,0,0,0,0,0,0,0,0,14,0,0,15,10,1,0,0,0,0
"90",2022,"6",7,7,23,34,15,36,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,15,0,8,0,0,0,0,0,0,0,0,9,0,0,42,6,3,0,0,0,0
"91",2022,"7",16,9,23,69,20,76,30,2,46,1,0,2,0,5,0,0,0,2,2,0,0,1,0,0,0,41,16,14,41,0,27,0,10,0,3,0,0,0,0,32,0,0,92,37,13,1,0,0,0
"92",2022,"8",24,9,18,145,28,73,50,13,127,2,2,5,0,5,0,0,4,0,0,0,2,3,0,0,0,50,51,6,78,5,33,8,7,4,8,0,0,1,0,54,0,0,64,65,12,0,0,0,10
"93",2022,"9",25,13,31,164,37,91,58,12,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,27,0,0,0,0,0,0,0,0,0,0,57,0,0,125,66,31,0,0,0,0
"94",2023,"1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"95",2023,"11",0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,3,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2023,"2",12,4,12,2,0,4,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,0,0,0,0,0
"97",2023,"3",12,1,2,2,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0
"98",2023,"4",80,0,1,58,19,60,51,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
"99",2023,"5",179,18,163,197,74,263,101,42,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,0,0,2,0,0,0,0,0,0,0,0,0,118,0,0,1,145,40,0,0,0,0
"100",2023,"6",298,112,128,69,0,399,0,136,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,734,0,27,0,0,0,0
"101",2023,"7",0,0,0,0,0,0,0,0,0,1,56,9,0,65,7,53,77,9,34,22,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,589,0,0,0,0,0,0
"102",2023,"8",0,0,0,0,0,0,0,0,0,37,0,84,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,0,0
"103",2023,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2023,NA,2,25,40,350,156,0,120,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4,0,0,47,78,0,54,0,0,0,50,0,0,338,65,0,0,0,0,0
